epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,234.202,1.92742,2.79691,1.25303,0.01596,0.43963,0.16311,0.06169,1.87157,3.11203,1.29474,0.0004,0.0004,0.0004
2,487.719,1.95031,1.72122,1.23607,0.02397,0.66047,0.15435,0.06079,1.91676,3.02093,1.42156,0.00065764,0.00065764,0.00065764
